example_x,example_y,ex_x,ex_y
0.13590204548304485,0.4281971069586865,0.6010676174581008,0.595931879787699
0.6515861880879263,0.804411999769809,0.8036402098581341,0.5777508297142816
0.7031071635053101,0.1564231102629401,0.6768696141316405,0.2836579085623554
0.7626493027229123,0.6501206020403566,0.4729444655138255,0.5547586500432802
0.8563682395886536,0.01529829423325435,0.5956172366766644,0.6598895116230045
0.963027973528264,0.4441647146025406,0.29914556974785145,0.6224725646350198
0.7151998759003687,0.5830956689051232,0.012643590776992841,0.024664502933134935
0.18482774712568706,0.8327718571061866,0.4083128366991807,0.5519988227199311
0.4453398286756266,0.6493683474170103,0.445912973812695,0.32921910857273595
0.18506065674564176,0.24107044329535476,0.07411840538459535,0.1314015452642523
0.856201748188051,0.16483914534888322,0.2403438731158355,0.08605618593249675
0.7167829650777874,0.7887173357118384,0.8286602685054587,0.9769304298802972
0.2842255846516766,0.6444339232726387,0.4030300240796877,0.26245836089115193
0.023424048416756493,0.2404876366353399,0.88465513076651,0.3498346898691438
0.46333848396558597,0.3475696964196844,0.5445404408723027,0.4993738903611401
0.9616209395871834,0.5575283628398857,0.2172677791837403,0.7331976234993217
0.20831643833783686,0.17847239039869722,0.9755391522247182,0.37243969278976197
0.059585034317583996,0.7321492314743708,0.2239141936572051,0.00287313762158814
0.7134261429558438,0.2411471914171024,0.7898776758823552,0.45724709351290016
0.4504216162046929,0.2734767286661265,0.7562865070914704,0.6903624093710956
0.7414045378318521,0.46926006219327754,0.8842624869140109,0.8075980828083823
0.4347424830923067,0.5215252116565259,0.10453402354359564,0.453856550301858
0.15054992684603208,0.33944714677635435,0.375171989007426,0.29210657329113565
0.9161979353015234,0.7258518377294422,0.9419217335563529,0.3814554482887811
0.2082082608953022,0.21002212231173278,0.8607558248358788,0.618547393055953
0.888223672593343,0.047643857776486054,0.2970580543119534,0.5407542153370142
0.5337404207699346,0.2581399159310793,0.4162263991475702,0.7259831905512832
0.21496176727547223,0.5056588783836282,0.8713695169823423,0.2629491537530928
0.8728048945962067,0.2323476578613577,0.9901878224502819,0.6459351040749537
0.275330821873085,0.25722934421138643,0.900320418188173,0.777875239747627
0.32689405396553084,0.46247825568068246,0.1258281606279471,0.13946624542618402
0.9696565232082263,0.8599688767732879,0.0075216569362116514,0.2253087311774531
0.8066145556402844,0.9140723409718149,0.7998868621364754,0.2695072420519933
0.5860025070682422,0.7806289900753665,0.08139690520146525,0.8884486662896324
0.432128079720111,0.4528600369156627,0.21020707693970975,0.7537713411985573
0.2898161121904431,0.7122260618692967,0.5114773344966509,0.1961605872770158
0.45283380177113575,0.9534658693069898,0.34489321594627054,0.8697731823768995
0.9293979666762885,0.38533511067181325,0.16592729073763646,0.6027363171403882
0.0955318692663425,0.7216434446621361,0.3075533736857503,0.6916388033691802
0.5955160690407331,0.2384086581261462,0.19281499250734824,0.7183371691502867
0.1402117404119595,0.4351940247668117,0.3860698805708862,0.06947354964222985
0.6436419822335625,0.20845891191718868,0.05414048493218515,0.6741613366846201
0.31119282936723347,0.24088553876592644,0.4221314763078634,0.9514602076745554
0.583939912813891,0.25153532646945087,0.6745310283484632,0.010603596599075282
0.018372471995757866,0.10854294771902606,0.6513129545800601,0.7122358051003415
0.873415190847461,0.0542083593588123,0.8056780702193267,0.636356030560796
0.038559373754082915,0.24825104448769864,0.6121263356829777,0.4540092187017064
0.4663524402447351,0.9423548572300617,0.7494539282548767,0.7498533954647373
0.782942328825543,0.2626699279314233,0.5344477941843776,0.11827064471767479
0.5378317165521633,0.8303411781762292,0.2692399087712667,0.9387620900783243
